Interaction_ID,Herb_Name_encoded,Compound_Name_encoded,Target_Name_encoded,Action_Type_encoded,Species_encoded,pKi,pIC50,Bioactivity_Strength,Weighted_Bioactivity,Data_Quality_Score,Confidence_Score,Is_Synthetic,Property_neuroprotective,Property_metabolism_booster,Property_nootropic,Property_antimicrobial,Property_galactagogue,Property_anti-inflammatory,Property_reproductive_health,Property_hepatoprotective,Property_energy_booster,Property_digestive,Property_adaptogenic,Property_immunomodulatory,Property_analgesic,Property_antioxidant,Property_cardioprotective,Property_hypoglycemic,Property_bioenhancer,Property_cognitive_enhancer,Property_anti-arthritic,Property_hypolipidemic,Ki_nM,IC50_nM
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,4.42021640338319,4.42021640338319,4.243407747247862,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,38000.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,4.356547323513812,4.356547323513812,4.182285430573259,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,44000.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,5.3979400086720375,5.3979400086720375,5.182022408325156,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,4000.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,5.1938200260161125,5.1938200260161125,4.986067224975468,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,6400.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,5.853871964321762,5.853871964321762,5.619717085748891,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,1400.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,5.154901959985743,5.154901959985743,4.948705881586313,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,7000.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,5.638272163982407,5.638272163982407,5.412741277423111,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2300.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,5.853871964321762,5.853871964321762,5.619717085748891,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,1400.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,6.173925197299173,6.173925197299173,5.926968189407206,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,670.0
